target_contact_id,subordinate_contact_id
41C1EB0E-4038-ED11-9DB1-0022489CA4D1,78C7947A-6038-ED11-9DB1-0022489CA4D1
F967D270-7338-ED11-9DB1-0022489CA4D1,7EFB9B24-5C38-ED11-9DB1-0022489CA4D1
3EC540C4-5738-ED11-9DB1-0022489CA4D1,0CEBE369-7438-ED11-9DB1-0022489CA4D1
A5C48CCE-7038-ED11-9DB1-0022489CA4D1,2972236E-6038-ED11-9DB1-0022489CA4D1
F1842E15-5A38-ED11-9DB1-0022489CA4D1,E2842E15-5A38-ED11-9DB1-0022489CA4D1
A360DB43-7B38-ED11-9DB1-0022489CA4D1,37DBD7EF-6D38-ED11-9DB1-0022489CA4D1
6BC264EE-8338-ED11-9DB1-0022489CA4D1,BE6D9DC9-8338-ED11-9DB1-0022489CA4D1
8251FC48-7C38-ED11-9DB1-0022489CA4D1,74D17DBD-5738-ED11-9DB1-0022489CA4D1
8251FC48-7C38-ED11-9DB1-0022489CA4D1,75ED35C7-7438-ED11-9DB1-0022489CA4D1
77617304-7B38-ED11-9DB1-0022489CA4D1,34BFD67C-6E38-ED11-9DB1-0022489CA4D1
E1FC522C-7238-ED11-9DB1-0022489CA4D1,E5FF2368-6038-ED11-9DB1-0022489CA4D1
5DED35C7-7438-ED11-9DB1-0022489CA4D1,8C014D72-6C38-ED11-9DB1-0022489CA4D1
DB99F4D7-8038-ED11-9DB1-0022489CA4D1,CF99F4D7-8038-ED11-9DB1-0022489CA4D1
A1D0DDEA-7E38-ED11-9DB1-0022489CA4D1,00EBE369-7438-ED11-9DB1-0022489CA4D1
4206CAA9-7C38-ED11-9DB1-0022489CA4D1,4C089E1A-6F38-ED11-9DB1-0022489CA4D1
F1A40143-7C38-ED11-9DB1-0022489CA4D1,5EDCA118-5C38-ED11-9DB1-0022489CA4D1
63C48CCE-7038-ED11-9DB1-0022489CA4D1,49C48CCE-7038-ED11-9DB1-0022489CA4D1
3756999E-7E38-ED11-9DB1-0022489CA4D1,EADA9867-7138-ED11-9DB1-0022489CA4D1
D99B7C36-7D38-ED11-9DB1-0022489CA4D1,C744EE13-6738-ED11-9DB1-0022489CA4D1
D99B7C36-7D38-ED11-9DB1-0022489CA4D1,8F243D21-7338-ED11-9DB1-0022489CA4D1
D99B7C36-7D38-ED11-9DB1-0022489CA4D1,CD79270F-7A38-ED11-9DB1-0022489CA4D1
E1A70B92-6A38-ED11-9DB1-0022489CA4D1,143A360F-5A38-ED11-9DB1-0022489CA4D1
E2EF4BEA-7338-ED11-9DB1-0022489CA4D1,376F1D4F-6838-ED11-9DB1-0022489CA4D1
FC62D5B9-8138-ED11-9DB1-0022489CA4D1,92447FB8-7F38-ED11-9DB1-0022489CA4D1
0F5EA7CC-7E38-ED11-9DB1-0022489CA4D1,76D10D56-6038-ED11-9DB1-0022489CA4D1
